Census year,Block ID,Property ID,Base property ID,Building name,Street address,CLUE small area,Construction year,Refurbished year,Number of floors (above ground),Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,Bicycle spaces,Has showers,x coordinate,y coordinate
2019,2384,617648,617648,,36 Alfred Street NORTH MELBOURNE 3051,North Melbourne,1990,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,,144.94056,-37.79034
2019,238,101746,101746,,12-14 Carlton Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97376,-37.80088
2019,55,109288,109288,,219-225 Swanston Street MELBOURNE 3000,Melbourne (CBD),1928,2016,4,Entertainment/Recreation - Indoor,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,0,,144.96496,-37.81272
2019,206,102574,102574,,62 Dorrit Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96660,-37.79918
2019,2388,617513,617513,North Melbourne Community Centre,49-53 Buncle Street NORTH MELBOURNE 3051,North Melbourne,,,2,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,6,,144.93995,-37.79311
2019,227,101444,101444,,195 Canning Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97323,-37.79397
2019,266,106076,106076,,1-7 Lygon Street CARLTON 3053,Carlton,1960,,3,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,,144.96564,-37.80674
2019,218,104472,104472,,68 Grattan Street CARLTON 3053,Carlton,1870,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96737,-37.80054
2019,16,104930,104930,,3-5 Hosier Lane MELBOURNE 3000,Melbourne (CBD),1880,1998,3,Office,Low level of accessibility,All entrances have steps,1,0,,144.96902,-37.81651
2019,773,627703,627703,,3 Barring Mews DOCKLANDS 3008,Docklands,2011,,2,House/Townhouse,Low level of accessibility,All entrances have steps,1,0,,144.93845,-37.82304
2019,248,110802,110802,,4 O'Connell Lane CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96891,-37.80202
2019,615,104345,104345,,130 Gipps Street EAST MELBOURNE 3002,East Melbourne,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.98509,-37.81261
2019,54,105843,105843,,353-359 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),1910,,3,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1,0,,144.96217,-37.81353
2019,226,105175,105175,,75-79 Kay Street CARLTON 3053,Carlton,1990,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,,144.97236,-37.79535
2019,217,103105,103105,,185 Elgin Street CARLTON 3053,Carlton,1877,,2,Retail - Shop,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2,0,,144.96832,-37.79748
2019,656,105150,105150,,26 Jolimont Terrace EAST MELBOURNE 3002,East Melbourne,1890,,2,House/Townhouse,Low level of accessibility,All entrances have steps,1,0,,144.98151,-37.81783
2019,266,106078,106078,,11 Lygon Street CARLTON 3053,Carlton,1960,,1,"Performances, Conferences, Ceremonies",Low level of accessibility,All entrances have steps,1,0,,144.96563,-37.80658
2019,231,505055,505055,,118 Canning Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97355,-37.79591
2019,227,517610,517610,,74 Kay Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97244,-37.79488
2019,2384,617571,617571,,8 George Street NORTH MELBOURNE 3051,North Melbourne,2006,,1,House/Townhouse,,,,,,144.94129,-37.79026
2019,301,563671,563671,,48 Little Curran Street NORTH MELBOURNE 3051,North Melbourne,2000,,3,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.94387,-37.79167
2019,306,105413,105413,,18 Kipling Street NORTH MELBOURNE 3051,North Melbourne,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.94265,-37.79512
2019,252,106249,106249,,128-130 Lygon Street CARLTON 3053,Carlton,1885,,2,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,,144.96668,-37.80404
2019,1108,674535,632511,West Tower,888 Collins Street DOCKLANDS 3008,Docklands,2016,,17,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.94232,-37.82059
2019,267,106254,106254,Trades Hall,2-40 Lygon Street CARLTON 3053,Carlton,1873,,6,Office,Low level of accessibility,All entrances have steps,1,0,,144.96641,-37.80644
2019,305,102860,102860,,463 Dryburgh Street NORTH MELBOURNE 3051,North Melbourne,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.94466,-37.79421
2019,206,106124,106124,,239 Lygon Street CARLTON 3053,Carlton,1901,,2,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.96678,-37.79983
2019,216,103715,103715,,156 Faraday Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96935,-37.79847
2019,304,101290,101290,,1 Brougham Street NORTH MELBOURNE 3051,North Melbourne,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.94659,-37.79414
2019,615,107635,107635,,125 Powlett Street EAST MELBOURNE 3002,East Melbourne,1870,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.98545,-37.81249
2019,224,103158,103158,,68 Elgin Street CARLTON 3053,Carlton,1870,,2,Office,Low level of accessibility,All entrances have steps,1,0,TRUE,144.97234,-37.79741
2019,617,104271,104271,,184 George Street EAST MELBOURNE 3002,East Melbourne,,,3,Residential Apartment,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.98425,-37.81483
2019,264,109322,109322,Queensberry Hotel,593-597 Swanston Street CARLTON 3053,Carlton,1850,,2,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,,144.96291,-37.80475
2019,246,573345,573345,,182-184 Cardigan Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96563,-37.80090
2019,66,104783,104783,,24-32 Heffernan Lane MELBOURNE 3000,Melbourne (CBD),,,1,Unoccupied - Under Construction,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,,144.96679,-37.81144
2019,234,100803,100803,,68 Barkly Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97301,-37.79877
2019,232,531459,531459,,76 Station Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Access has not been rated,0,,,144.97453,-37.79582
2019,618,107623,107623,Caringal,27-31 Powlett Street EAST MELBOURNE 3002,East Melbourne,,,4,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,,144.98493,-37.81553
2019,204,505320,505320,,347 Cardigan Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96561,-37.79807
2019,221,100759,100759,,121 Barkly Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97149,-37.80022
2019,225,108237,108237,,158 Rathdowne Street CARLTON 3053,Carlton,1920,,2,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.97109,-37.79579
2019,220,600022,600022,,3 Silver Top Terrace CARLTON 3053,Carlton,2006,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97070,-37.79971
2019,230,109097,109097,,178 Station Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97499,-37.79325
2019,222,522639,522639,,43 MacArthur Place South CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97132,-37.79869
2019,227,101434,101434,,175 Canning Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97315,-37.79444
2019,201,667320,105288,,100 Keppel Street CARLTON 3053,Carlton,2015,,2,Residential Apartment,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0,,,144.96594,-37.79430
2019,232,109139,109139,,56-58 Station Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97446,-37.79625
2019,226,107613,107613,,18 Pitt Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97252,-37.79562
2019,15,103328,103328,River View House,274-282 Flinders Street MELBOURNE 3000,Melbourne (CBD),1972,2014,17,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,TRUE,144.96509,-37.81766
2019,212,627567,627567,,518-538 Drummond Street CARLTON 3053,Carlton,2011,,8,Residential Apartment,High level of accessibility,Main Entrance has ramp,3,10,,144.97015,-37.79298
2019,258,105509,105509,Trinity,97-113 Leicester Street CARLTON 3053,Carlton,2007,,8,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.96018,-37.80337
2019,604,104316,104316,,57 Gipps Street EAST MELBOURNE 3002,East Melbourne,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.98877,-37.81358
2019,306,107454,107454,,5 Peckville Street NORTH MELBOURNE 3051,North Melbourne,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.94284,-37.79544
2019,261,103290,103290,,520-522 Elizabeth Street MELBOURNE 3000,Carlton,1954,2000,2,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,,144.95975,-37.80579
2019,605,104293,104293,,48 George Street EAST MELBOURNE 3002,East Melbourne,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.98885,-37.81532
2019,207,103701,103701,,222-224 Faraday Street CARLTON 3053,Carlton,1950,2018,3,Unoccupied - Under Renovation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.96686,-37.79831
2019,606,108793,108793,,24 Simpson Street EAST MELBOURNE 3002,East Melbourne,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.98824,-37.81600
2019,1109,601810,593728,Waterfront City West Building,439-441 Docklands Drive DOCKLANDS 3008,Docklands,2006,,3,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.93921,-37.81504
2019,612,109627,109627,,506 Victoria Parade EAST MELBOURNE 3002,East Melbourne,1870,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.98822,-37.81001
2019,227,524086,524086,,79 Neill Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97219,-37.79437
2019,772,559291,559291,,63-67 Lorimer Street DOCKLANDS 3008,Docklands,1997,,2,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.94481,-37.82540
2019,84,105446,105446,Eporo Tower,279-289 La Trobe Street MELBOURNE 3000,Melbourne (CBD),2016,,44,Residential Apartment,Low level of accessibility,All entrances have steps,1,120,,144.96086,-37.81074
2019,221,100763,100763,,133 Barkly Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97134,-37.80043
2019,2381,617604,619509,Kira Apartments,179 Boundary Road NORTH MELBOURNE 3051,North Melbourne,2011,,9,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.93957,-37.78864
2019,223,103080,103080,,91 Elgin Street CARLTON 3053,Carlton,1860,,2,Office,Low level of accessibility,All entrances have steps,1,0,,144.97158,-37.79781
2019,266,101703,101703,RMIT- George Thompson - Building 55,58-80 Cardigan Street CARLTON 3053,Carlton,1960,2011,3,Educational/Research,High level of accessibility,Main Entrance has ramp,3,0,,144.96498,-37.80516
2019,773,677814,677814,,204-0 River Esplanade DOCKLANDS 3008,Docklands,2017,,3,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,,144.93575,-37.82170
2019,2389,624205,624205,,17 Wilson Mews NORTH MELBOURNE 3051,North Melbourne,2010,,3,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.94090,-37.79348
2019,235,103749,103749,,26-30 Faraday Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97363,-37.79918
2019,2383,616924,616924,,62 Alfred Street NORTH MELBOURNE 3051,North Melbourne,1900,,1,House/Townhouse,,,,,,144.93891,-37.79043
2019,35,103323,103323,,90 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),1861,1985,3,Storage,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.96421,-37.81580
2019,207,109551,109551,,35 Tyne Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96634,-37.79800
2019,226,107605,107605,,38 Pitt Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97197,-37.79557
2019,619,111453,103807,Cooks' Cottage,Wellington Parade EAST MELBOURNE 3002,East Melbourne,1934,,2,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.98046,-37.81296
2019,301,106512,106512,,120 Melrose Street NORTH MELBOURNE 3051,North Melbourne,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.94277,-37.79119
2019,34,111206,111206,,107-113 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),1889,1992,6,Unoccupied - Unused,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.96353,-37.81574
2019,305,103575,103575,Munro Cottage,38 Erskine Street NORTH MELBOURNE 3051,North Melbourne,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.94389,-37.79446
2019,203,109354,109354,,846-848 Swanston Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96495,-37.79641
2019,256,105653,105653,Sanro House,23-31 Lincoln Square South CARLTON 3053,Carlton,1920,,5,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1,0,,144.96254,-37.80344
2019,251,102774,102774,Construction Industry House,18-40 Queensberry Street CARLTON 3053,Carlton,1879,,2,Hospital/Clinic,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2,0,,144.96828,-37.80480
2019,226,107608,107608,,30 Pitt Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97219,-37.79558
2019,6,578324,573333,Transport,2 Swanston Street MELBOURNE 3000,Melbourne (CBD),2002,,3,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.96982,-37.81779
2019,263,105527,105527,,16-32 Leicester Street CARLTON 3053,Carlton,,,5,Unoccupied - Under Construction,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,,144.96051,-37.80570
2019,609,107679,107679,,90 Powlett Street EAST MELBOURNE 3002,East Melbourne,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.98601,-37.81378
2019,604,104861,104861,,1169 Hoddle Street EAST MELBOURNE 3002,East Melbourne,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.99035,-37.81364
2019,230,109123,109123,,102 Station Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97465,-37.79498
2019,206,102591,102591,,20 Dorrit Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96645,-37.80008
2019,773,637423,637423,,29 South Wharf Drive DOCKLANDS 3008,Docklands,2012,,3,House/Townhouse,Not determined or not applicable,Access has not been rated,0,0,,144.93957,-37.82307
2019,206,103693,103693,,233 Faraday Street CARLTON 3053,Carlton,2009,2008,4,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,,144.96640,-37.79883
2019,207,101675,101675,,292 Cardigan Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96617,-37.79799
2019,214,111215,111207,180 Elgin Street,180 Elgin Street CARLTON 3053,Carlton,1900,,2,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,,144.96858,-37.79682
2019,66,109437,109437,,4-12 Tattersalls Lane MELBOURNE 3000,Melbourne (CBD),1922,2004,3,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,,144.96577,-37.81206
2019,35,109271,109271,Century Building,125-133 Swanston Street MELBOURNE 3000,Melbourne (CBD),1938,,13,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.96580,-37.81472
2019,227,101872,101872,,1 Charles Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97240,-37.79472
2019,252,106242,106242,,166-168 Lygon Street CARLTON 3053,Carlton,1901,,2,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance has ramp,3,0,,144.96681,-37.80331
2019,228,107715,107715,,99 Princes Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97233,-37.79293
2019,650,110658,101782,Archdiocese Centre,383 Albert Street EAST MELBOURNE 3002,East Melbourne,1971,,1,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.97692,-37.81028
2019,215,107184,107184,,161 Palmerston Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96970,-37.79644
2019,203,109349,109349,,864-866 Swanston Street CARLTON 3053,Carlton,2007,,2,Student Accommodation,Low level of accessibility,All entrances have steps,1,0,,144.96514,-37.79607
2019,656,109985,109985,Agnes Apartments,61-71 Agnes Street EAST MELBOURNE 3002,East Melbourne,1940,,3,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.97998,-37.81681
2019,258,568077,568077,Building 106 Law Building,179-201 Pelham Street CARLTON 3053,Carlton,2001,,11,Educational/Research,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.96006,-37.80242
2019,267,111491,111491,,27 Drummond Street CARLTON 3053,Carlton,1868,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96706,-37.80626
2019,14,104008,104008,The Rocke Tompsitt Building,292-298 Flinders Street MELBOURNE 3000,Melbourne (CBD),1908,2002,8,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.96435,-37.81807
2019,15,109263,109263,Nicholas Building,31-41 Swanston Street MELBOURNE 3000,Melbourne (CBD),1926,1992,10,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.96670,-37.81674
2019,238,107123,107123,,27 Owen Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97340,-37.80074
2019,604,655175,655175,,21 Hayes Lane EAST MELBOURNE 3002,East Melbourne,,,4,House/Townhouse,Low level of accessibility,All entrances have steps,1,0,,144.98996,-37.81405
2019,218,103686,103686,,185-187 Faraday Street CARLTON 3053,Carlton,1887,,2,Office,Low level of accessibility,All entrances have steps,1,0,,144.96825,-37.79910
2019,656,105143,105143,Devon House,50 Jolimont Street EAST MELBOURNE 3002,East Melbourne,1890,2008,4,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,,144.98125,-37.81835
2019,621,586152,586152,,9-19 Eades Street EAST MELBOURNE 3002,East Melbourne,2003,,8,Residential Apartment,Low level of accessibility,All entrances have steps,1,45,,144.98074,-37.80964
2019,1109,601814,601814,,387-395 Docklands Drive DOCKLANDS 3008,Docklands,2017,,1,Unoccupied - Under Construction,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,,144.94084,-37.81402
2019,657,101066,101066,,51 Berry Street EAST MELBOURNE 3002,East Melbourne,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.98847,-37.81798
2019,14,103911,103911,,2-4 Mill Place MELBOURNE 3000,Melbourne (CBD),1860,2000,3,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1,0,,144.96415,-37.81776
2019,266,106079,106079,J Reilly Building,13-15 Lygon Street CARLTON 3053,Carlton,1896,,2,Unoccupied - Under Renovation,Low level of accessibility,All entrances have steps,1,0,,144.96565,-37.80651
2019,64,105704,105704,,377-381 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),1889,1993,4,Office,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2,0,,144.96145,-37.81288
2019,613,593695,109643,The Albert,158 Albert Street EAST MELBOURNE 3002,East Melbourne,,,6,Parking - Private Covered,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,0,,144.98562,-37.81005
2019,309,106300,106300,,261-263 Macaulay Road NORTH MELBOURNE 3051,North Melbourne,1920,,1,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1,0,,144.93809,-37.79556
2019,245,109361,109361,,678 Swanston Street CARLTON 3053,Carlton,1883,2015,2,Entertainment/Recreation - Indoor,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2,0,,144.96423,-37.80069
2019,610,104363,104363,,48 Gipps Street EAST MELBOURNE 3002,East Melbourne,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.98793,-37.81305
2019,773,627688,627688,,2 Foundry Way DOCKLANDS 3008,Docklands,2011,,3,House/Townhouse,Low level of accessibility,All entrances have steps,1,0,,144.93809,-37.82303
2019,222,512796,512796,,52 Faraday Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97246,-37.79902
2019,301,103865,103865,,283 Flemington Road NORTH MELBOURNE 3051,North Melbourne,2017,,2,House/Townhouse,Low level of accessibility,All entrances have steps,1,0,,144.94512,-37.79227
2019,214,106180,106180,,434 Lygon Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96796,-37.79658
2019,227,106856,106856,,57 Neill Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97273,-37.79413
2019,238,101735,101735,,36 Carlton Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97305,-37.80089
2019,230,106958,106958,,209 Nicholson Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97499,-37.79504
2019,2389,624258,624258,,17A Sutton Street NORTH MELBOURNE 3051,North Melbourne,2010,,3,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.94120,-37.79257
2019,2391,616980,616980,,13-35 Caytre Crescent NORTH MELBOURNE 3051,North Melbourne,,,2,House/Townhouse,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2,0,,144.93927,-37.79460
2019,227,101877,101877,,11 Charles Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97241,-37.79450
2019,203,101618,101618,,403 Cardigan Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96585,-37.79663
2019,207,103114,103114,,231 Elgin Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96665,-37.79729
2019,234,101501,101501,,48 Canning Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97311,-37.79831
2019,773,677829,677829,,92-0 South Wharf Drive DOCKLANDS 3008,Docklands,2017,,3,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,,144.93513,-37.82179
2019,609,104990,104990,Castle Coombe,98-102 Hotham Street EAST MELBOURNE 3002,East Melbourne,,,2,Residential Apartment,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0,0,,144.98706,-37.81393
2019,302,102869,102869,,493-495 Dryburgh Street NORTH MELBOURNE 3051,North Melbourne,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.94484,-37.79329
2019,240,107551,107551,,196-198 Pelham Street CARLTON 3053,Carlton,1870,,2,Residential Apartment,Low level of accessibility,All entrances have steps,1,0,,144.95923,-37.80186
2019,612,109621,109621,,520 Victoria Parade EAST MELBOURNE 3002,East Melbourne,,,2,Hospital/Clinic,Low level of accessibility,All entrances have steps,1,,,144.98862,-37.81001
2019,65,109292,109292,,243-249 Swanston Street MELBOURNE 3000,Melbourne (CBD),1880,1997,3,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,,144.96474,-37.81230
2019,220,108262,108262,,24 Rathdowne Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97037,-37.79993
2019,65,109290,109290,,237 Swanston Street MELBOURNE 3000,Melbourne (CBD),1910,2016,3,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,,144.96480,-37.81245
2019,646,109663,109663,Ardee,162-166 Victoria Parade EAST MELBOURNE 3002,East Melbourne,1970,0,2,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3,8,TRUE,144.97738,-37.80890
2019,1103,573401,573401,Bourke Junction,700-704 Bourke Street DOCKLANDS 3008,Docklands,2013,,16,Office,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0,119,TRUE,144.94938,-37.81718
2019,225,107211,107211,,92 Palmerston Street CARLTON 3053,Carlton,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.97196,-37.79622
2019,306,107467,107467,,8 Peckville Street NORTH MELBOURNE 3051,North Melbourne,,,1,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.94317,-37.79541
